Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Esquizofrenia,Pensamientos intrusivos,Expresión facial reducida,Alogia - pobreza de contenido,Comportamiento motor desorganizado,Abulia - higiene,Alogia,Taquicardia,Control del pensamiento,Paranoia intensa,Déficit en el procesamiento de la información
Trastorno bipolar con síntomas psicóticos,Disminución del libido,Pensamientos intrusivos,Abulia - higiene,Alogia - pobreza del habla,Anhedonia - relaciones con amigos,Taquicardia,Afectividad inapropiada,Sueño o fatiga,Nerviosismo,Deterioro de la atención
Trastorno delirante,Dificultad de concentración,Expresión facial reducida,Temblores,Sentimiento de culpa,Catatonía,Abulia - higiene,Eco del pensamiento,Anergia física,Afectividad inapropiada,Contacto visual bajo
Trastorno esquizotípico,Gesticulación reducida,Alogia - pobreza del habla,Sudoración,Cambios en el apetito,Abulia,Deterioro de la memoria,Obsesiones de presencia,Taquicardia,Preocupación,Anhedonia - intereses recreativos
Trastorno esquizoafectivo,Anhedonia - intereses sexuales,Anhedonia - intereses recreativos,Irritabilidad,Tristeza,Dificultad de concentración,Lenguaje desorganizado,Déficit en el procesamiento de la información,Alucinaciones,Taquicardia,Expresión facial reducida
Depresión mayor con síntomas psicóticos,Obsesiones de presencia,Lenguaje desorganizado,Dificultades en teoría de la mente,Abulia - trabajo o estudio,Sudoración,Anergia física,Anhedonia,Cambios en el apetito,Anhedonia - intereses recreativos,Gesticulación reducida
Trastorno bipolar con síntomas psicóticos,Catatonía,Hipoexpresividad emocional,Anhedonia - relaciones con la familia,Temblores,Abulia - trabajo o estudio,Dificultad de concentración,Control del pensamiento,Sueño o fatiga,Pensamientos intrusivos,Sudoración
Trastorno esquizoafectivo,Tristeza,Anergia física,Sudoración,Deterioro de la memoria,Abulia - higiene,Taquicardia,Abulia,Catatonía,Comportamiento motor desorganizado,Anhedonia - sociabilidad
Trastorno bipolar con síntomas psicóticos,Sudoración,Cambios en el apetito,Temblores,Lenguaje desorganizado,Tristeza,Obsesiones de presencia,Sueño o fatiga,Paranoia intensa,Abulia - trabajo o estudio,Contacto visual bajo
Esquizofrenia,Alucinaciones,Disnea,Nerviosismo,Abulia,Anhedonia,Ideas delirantes,Pensamientos intrusivos,Hipervigilancia,Lenguaje desorganizado,Anergia física
Trastorno esquizoafectivo,Deterioro de la atención,Anhedonia - intereses recreativos,Abulia - higiene,Irritabilidad,Déficit en el procesamiento de la información,Pensamientos intrusivos,Temblores,Comportamiento motor desorganizado,Alogia - pobreza del habla,Dificultades en teoría de la mente
Depresión mayor con síntomas psicóticos,Catatonía,Expresión facial reducida,Dificultades en teoría de la mente,Hipervigilancia,Alogia - bloqueos del pensamiento,Nerviosismo,Deterioro de la memoria,Cambios en el apetito,Eco del pensamiento,Obsesiones de presencia
Trastorno esquizoafectivo,Hipervigilancia,Lenguaje desorganizado,Sueño o fatiga,Abulia - higiene,Dificultades en teoría de la mente,Disnea,Contacto visual bajo,Afectividad inapropiada,Alogia - pobreza de contenido,Comportamiento social inadecuado
Depresión mayor con síntomas psicóticos,Alogia,Anergia física,Deterioro de la atención,Catatonía,Temblores,Anhedonia - sociabilidad,Comportamiento social inadecuado,Hipervigilancia,Desorganización del pensamiento,Preocupación
Esquizofrenia,Anhedonia - relaciones con amigos,Deterioro de la atención,Abulia - trabajo o estudio,Anhedonia - intereses sexuales,Tristeza,Alogia,Anhedonia - relaciones con la familia,Disminución del libido,Disnea,Alogia - bloqueos del pensamiento
Trastorno delirante,Alogia,Alogia - bloqueos del pensamiento,Hipoexpresividad emocional,Nerviosismo,Eco del pensamiento,Contacto visual bajo,Deterioro de la memoria,Anhedonia - relaciones con la familia,Control del pensamiento,Afectividad inapropiada
Esquizofrenia,Abulia - higiene,Lenguaje desorganizado,Disnea,Comportamiento motor desorganizado,Pensamientos intrusivos,Alucinaciones,Control del pensamiento,Anhedonia,Gesticulación reducida,Irritabilidad
Trastorno delirante,Catatonía,Alogia - pobreza de contenido,Dificultad de concentración,Abulia,Déficit en el procesamiento de la información,Comportamiento motor desorganizado,Obsesiones de presencia,Irritabilidad,Sentimiento de culpa,Pensamientos intrusivos
Trastorno bipolar con síntomas psicóticos,Anhedonia - intereses recreativos,Dificultad de concentración,Taquicardia,Anhedonia - relaciones con la familia,Catatonía,Deterioro de la memoria,Eco del pensamiento,Paranoia intensa,Anergia física,Alucinaciones
Depresión mayor con síntomas psicóticos,Cambios en el apetito,Disminución del libido,Anhedonia,Abulia,Anhedonia - sociabilidad,Expresión facial reducida,Alogia - pobreza de contenido,Anhedonia - relaciones con amigos,Gesticulación reducida,Sueño o fatiga
Trastorno bipolar con síntomas psicóticos,Alogia - bloqueos del pensamiento,Contacto visual bajo,Ideas suicidas,Dificultad de concentración,Temblores,Gesticulación reducida,Tristeza,Pensamientos intrusivos,Hipoexpresividad emocional,Dificultades en teoría de la mente
Trastorno delirante,Ideas suicidas,Sudoración,Alogia,Cambios en el apetito,Catatonía,Irritabilidad,Déficit en el procesamiento de la información,Comportamiento motor desorganizado,Sentimiento de culpa,Anhedonia - intereses recreativos
Depresión mayor con síntomas psicóticos,Sentimiento de culpa,Tristeza,Lenguaje desorganizado,Anhedonia - intereses recreativos,Contacto visual bajo,Expresión facial reducida,Temblores,Eco del pensamiento,Deterioro de la atención,Anhedonia - sociabilidad
Trastorno bipolar con síntomas psicóticos,Dificultades en teoría de la mente,Afectividad inapropiada,Comportamiento motor desorganizado,Abulia - higiene,Irritabilidad,Gesticulación reducida,Abulia - trabajo o estudio,Taquicardia,Alogia - bloqueos del pensamiento,Sueño o fatiga
Trastorno esquizotípico,Alucinaciones,Lenguaje desorganizado,Dificultades en teoría de la mente,Deterioro de la memoria,Anhedonia - relaciones con la familia,Hipoexpresividad emocional,Dificultad de concentración,Abulia - trabajo o estudio,Sueño o fatiga,Contacto visual bajo
Trastorno esquizoafectivo,Ideas suicidas,Anergia física,Preocupación,Anhedonia,Expresión facial reducida,Abulia - trabajo o estudio,Alogia - pobreza del habla,Anhedonia - sociabilidad,Anhedonia - intereses sexuales,Alogia
Esquizofrenia,Anhedonia,Deterioro de la atención,Sueño o fatiga,Anhedonia - relaciones con la familia,Deterioro de la memoria,Anhedonia - intereses recreativos,Ideas suicidas,Disnea,Hipervigilancia,Comportamiento social inadecuado
Trastorno delirante,Preocupación,Alogia - pobreza del habla,Comportamiento social inadecuado,Hipoexpresividad emocional,Anhedonia - intereses sexuales,Sudoración,Contacto visual bajo,Ideas delirantes,Anhedonia - relaciones con la familia,Alogia - bloqueos del pensamiento
Trastorno esquizotípico,Anergia física,Abulia - higiene,Taquicardia,Tristeza,Preocupación,Sentimiento de culpa,Alogia - pobreza del habla,Anhedonia - intereses sexuales,Sueño o fatiga,Deterioro de la atención
Trastorno delirante,Irritabilidad,Sueño o fatiga,Afectividad inapropiada,Catatonía,Ideas suicidas,Dificultades en teoría de la mente,Cambios en el apetito,Deterioro de la memoria,Abulia - trabajo o estudio,Gesticulación reducida
Trastorno bipolar con síntomas psicóticos,Pensamientos intrusivos,Ideas suicidas,Temblores,Anhedonia - relaciones con la familia,Hipoexpresividad emocional,Control del pensamiento,Disnea,Nerviosismo,Comportamiento motor desorganizado,Deterioro de la memoria
Esquizofrenia,Temblores,Taquicardia,Dificultades en teoría de la mente,Tristeza,Abulia,Abulia - trabajo o estudio,Paranoia intensa,Alogia - pobreza del habla,Sueño o fatiga,Alucinaciones
Trastorno esquizoafectivo,Gesticulación reducida,Anhedonia - intereses sexuales,Deterioro de la atención,Alogia - pobreza de contenido,Deterioro de la memoria,Hipoexpresividad emocional,Anergia física,Alogia - pobreza del habla,Temblores,Alucinaciones
Trastorno esquizoafectivo,Preocupación,Abulia,Desorganización del pensamiento,Temblores,Nerviosismo,Irritabilidad,Anhedonia - relaciones con amigos,Disnea,Catatonía,Disminución del libido
Depresión mayor con síntomas psicóticos,Cambios en el apetito,Anergia física,Sudoración,Dificultad de concentración,Anhedonia - relaciones con amigos,Ideas suicidas,Deterioro de la atención,Abulia - higiene,Alogia - pobreza de contenido,Eco del pensamiento
Depresión mayor con síntomas psicóticos,Alucinaciones,Hipervigilancia,Obsesiones de presencia,Taquicardia,Comportamiento motor desorganizado,Anhedonia - relaciones con amigos,Control del pensamiento,Preocupación,Hipoexpresividad emocional,Déficit en el procesamiento de la información
Trastorno delirante,Lenguaje desorganizado,Desorganización del pensamiento,Preocupación,Deterioro de la atención,Contacto visual bajo,Ideas delirantes,Anhedonia,Alogia - pobreza del habla,Alogia,Ideas suicidas
Esquizofrenia,Dificultad de concentración,Temblores,Hipoexpresividad emocional,Ideas suicidas,Anhedonia - intereses sexuales,Afectividad inapropiada,Nerviosismo,Abulia - trabajo o estudio,Expresión facial reducida,Dificultades en teoría de la mente
Depresión mayor con síntomas psicóticos,Cambios en el apetito,Sueño o fatiga,Catatonía,Anergia física,Abulia,Irritabilidad,Alogia - bloqueos del pensamiento,Hipervigilancia,Temblores,Anhedonia - sociabilidad
Trastorno delirante,Deterioro de la memoria,Hipoexpresividad emocional,Desorganización del pensamiento,Preocupación,Pensamientos intrusivos,Catatonía,Anhedonia - relaciones con amigos,Comportamiento social inadecuado,Nerviosismo,Comportamiento motor desorganizado
Trastorno bipolar con síntomas psicóticos,Irritabilidad,Pensamientos intrusivos,Sentimiento de culpa,Tristeza,Anhedonia,Expresión facial reducida,Disminución del libido,Afectividad inapropiada,Ideas delirantes,Alogia
Trastorno delirante,Anergia física,Abulia - trabajo o estudio,Cambios en el apetito,Contacto visual bajo,Anhedonia - intereses recreativos,Alogia - bloqueos del pensamiento,Pensamientos intrusivos,Anhedonia,Comportamiento motor desorganizado,Eco del pensamiento
Trastorno delirante,Deterioro de la atención,Dificultad de concentración,Alogia - pobreza de contenido,Anhedonia - intereses recreativos,Anhedonia - relaciones con la familia,Temblores,Anhedonia - sociabilidad,Deterioro de la memoria,Desorganización del pensamiento,Irritabilidad
Depresión mayor con síntomas psicóticos,Afectividad inapropiada,Lenguaje desorganizado,Desorganización del pensamiento,Hipoexpresividad emocional,Anhedonia - relaciones con la familia,Alucinaciones,Abulia - higiene,Anhedonia - sociabilidad,Sentimiento de culpa,Déficit en el procesamiento de la información
Trastorno esquizoafectivo,Catatonía,Obsesiones de presencia,Anhedonia - relaciones con amigos,Contacto visual bajo,Ideas suicidas,Disminución del libido,Comportamiento motor desorganizado,Anhedonia - intereses recreativos,Tristeza,Abulia - trabajo o estudio
Depresión mayor con síntomas psicóticos,Alucinaciones,Anhedonia - intereses sexuales,Obsesiones de presencia,Comportamiento social inadecuado,Afectividad inapropiada,Abulia - trabajo o estudio,Sudoración,Hipervigilancia,Deterioro de la atención,Anhedonia - sociabilidad
Trastorno delirante,Hipoexpresividad emocional,Contacto visual bajo,Anhedonia - sociabilidad,Abulia - higiene,Tristeza,Comportamiento social inadecuado,Abulia,Paranoia intensa,Nerviosismo,Anhedonia - intereses sexuales
Trastorno esquizoafectivo,Alogia - pobreza del habla,Lenguaje desorganizado,Disminución del libido,Tristeza,Afectividad inapropiada,Dificultades en teoría de la mente,Contacto visual bajo,Anhedonia - intereses sexuales,Ideas suicidas,Sueño o fatiga
Esquizofrenia,Sentimiento de culpa,Afectividad inapropiada,Anhedonia - relaciones con la familia,Alogia - pobreza de contenido,Alogia - pobreza del habla,Anhedonia - intereses sexuales,Abulia - higiene,Disminución del libido,Contacto visual bajo,Irritabilidad
Esquizofrenia,Taquicardia,Pensamientos intrusivos,Abulia - trabajo o estudio,Alogia - pobreza de contenido,Sueño o fatiga,Temblores,Abulia,Dificultad de concentración,Comportamiento motor desorganizado,Anhedonia - intereses recreativos
Trastorno esquizoafectivo,Nerviosismo,Contacto visual bajo,Deterioro de la memoria,Abulia - higiene,Tristeza,Deterioro de la atención,Alogia,Obsesiones de presencia,Desorganización del pensamiento,Abulia
Esquizofrenia,Catatonía,Sudoración,Deterioro de la atención,Anhedonia - relaciones con la familia,Alucinaciones,Contacto visual bajo,Déficit en el procesamiento de la información,Anhedonia - sociabilidad,Abulia,Temblores
Trastorno delirante,Ideas delirantes,Déficit en el procesamiento de la información,Paranoia intensa,Obsesiones de presencia,Catatonía,Anhedonia - intereses sexuales,Disnea,Dificultades en teoría de la mente,Anhedonia - intereses recreativos,Hipervigilancia
Esquizofrenia,Anhedonia - sociabilidad,Ideas delirantes,Nerviosismo,Irritabilidad,Déficit en el procesamiento de la información,Anhedonia - relaciones con amigos,Obsesiones de presencia,Sudoración,Abulia - higiene,Temblores
Trastorno bipolar con síntomas psicóticos,Abulia - trabajo o estudio,Cambios en el apetito,Anhedonia - relaciones con amigos,Anhedonia - intereses sexuales,Sueño o fatiga,Desorganización del pensamiento,Comportamiento social inadecuado,Déficit en el procesamiento de la información,Alogia,Anhedonia - sociabilidad
Trastorno esquizotípico,Cambios en el apetito,Preocupación,Control del pensamiento,Pensamientos intrusivos,Anergia física,Hipervigilancia,Sudoración,Ideas suicidas,Taquicardia,Obsesiones de presencia
Trastorno esquizotípico,Anhedonia - sociabilidad,Dificultades en teoría de la mente,Nerviosismo,Disnea,Cambios en el apetito,Comportamiento social inadecuado,Paranoia intensa,Anhedonia - intereses recreativos,Pensamientos intrusivos,Ideas delirantes
Trastorno bipolar con síntomas psicóticos,Déficit en el procesamiento de la información,Sudoración,Irritabilidad,Anhedonia - relaciones con amigos,Hipoexpresividad emocional,Ideas suicidas,Taquicardia,Dificultad de concentración,Comportamiento motor desorganizado,Paranoia intensa
Trastorno esquizotípico,Alogia,Taquicardia,Irritabilidad,Tristeza,Abulia,Anhedonia - intereses recreativos,Sentimiento de culpa,Dificultades en teoría de la mente,Comportamiento motor desorganizado,Anhedonia - relaciones con amigos
Trastorno esquizoafectivo,Dificultad de concentración,Sudoración,Anhedonia - intereses recreativos,Alogia - pobreza de contenido,Paranoia intensa,Anhedonia - relaciones con amigos,Anhedonia - intereses sexuales,Disnea,Hipervigilancia,Sentimiento de culpa
Trastorno bipolar con síntomas psicóticos,Ideas delirantes,Dificultad de concentración,Taquicardia,Deterioro de la atención,Ideas suicidas,Desorganización del pensamiento,Expresión facial reducida,Alogia - pobreza de contenido,Déficit en el procesamiento de la información,Paranoia intensa
Esquizofrenia,Preocupación,Alogia - bloqueos del pensamiento,Irritabilidad,Taquicardia,Anhedonia - sociabilidad,Deterioro de la memoria,Comportamiento social inadecuado,Nerviosismo,Abulia - higiene,Cambios en el apetito
Trastorno bipolar con síntomas psicóticos,Disminución del libido,Eco del pensamiento,Anhedonia - relaciones con la familia,Alogia - pobreza de contenido,Pensamientos intrusivos,Contacto visual bajo,Sentimiento de culpa,Anhedonia,Ideas delirantes,Desorganización del pensamiento
Trastorno bipolar con síntomas psicóticos,Obsesiones de presencia,Alucinaciones,Eco del pensamiento,Expresión facial reducida,Lenguaje desorganizado,Anergia física,Catatonía,Abulia,Hipoexpresividad emocional,Deterioro de la atención
Trastorno delirante,Obsesiones de presencia,Nerviosismo,Catatonía,Ideas suicidas,Abulia - higiene,Alogia,Paranoia intensa,Anhedonia,Eco del pensamiento,Alogia - pobreza del habla
Depresión mayor con síntomas psicóticos,Abulia - higiene,Deterioro de la atención,Alucinaciones,Pensamientos intrusivos,Cambios en el apetito,Taquicardia,Comportamiento motor desorganizado,Nerviosismo,Hipervigilancia,Anhedonia - sociabilidad
Depresión mayor con síntomas psicóticos,Alogia - pobreza de contenido,Contacto visual bajo,Alogia - bloqueos del pensamiento,Anhedonia - relaciones con la familia,Ideas suicidas,Sudoración,Control del pensamiento,Anhedonia - intereses sexuales,Sueño o fatiga,Anhedonia
Trastorno esquizotípico,Deterioro de la atención,Anergia física,Contacto visual bajo,Hipoexpresividad emocional,Disnea,Taquicardia,Comportamiento motor desorganizado,Dificultad de concentración,Ideas delirantes,Comportamiento social inadecuado
Trastorno esquizotípico,Ideas suicidas,Nerviosismo,Paranoia intensa,Comportamiento motor desorganizado,Cambios en el apetito,Gesticulación reducida,Anhedonia - intereses sexuales,Tristeza,Sueño o fatiga,Disnea
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Abulia,Paranoia intensa,Anhedonia - intereses recreativos,Sentimiento de culpa,Anhedonia - relaciones con amigos,Disnea,Contacto visual bajo,Sueño o fatiga,Nerviosismo
Esquizofrenia,Comportamiento motor desorganizado,Dificultades en teoría de la mente,Anhedonia - intereses sexuales,Alogia,Obsesiones de presencia,Hipervigilancia,Anhedonia - relaciones con amigos,Anhedonia - sociabilidad,Sueño o fatiga,Temblores
Trastorno esquizoafectivo,Nerviosismo,Taquicardia,Hipervigilancia,Obsesiones de presencia,Disminución del libido,Anhedonia - relaciones con la familia,Abulia - trabajo o estudio,Anergia física,Gesticulación reducida,Anhedonia - intereses sexuales
Trastorno delirante,Obsesiones de presencia,Catatonía,Afectividad inapropiada,Temblores,Desorganización del pensamiento,Comportamiento social inadecuado,Deterioro de la atención,Anhedonia,Abulia - higiene,Anhedonia - intereses sexuales
Trastorno esquizoafectivo,Abulia - trabajo o estudio,Ideas suicidas,Contacto visual bajo,Anhedonia - relaciones con la familia,Anhedonia - intereses recreativos,Expresión facial reducida,Abulia - higiene,Deterioro de la memoria,Dificultad de concentración,Anhedonia - sociabilidad
Depresión mayor con síntomas psicóticos,Anhedonia - sociabilidad,Temblores,Preocupación,Ideas delirantes,Anergia física,Paranoia intensa,Anhedonia,Dificultades en teoría de la mente,Sueño o fatiga,Deterioro de la atención
Trastorno bipolar con síntomas psicóticos,Sudoración,Catatonía,Abulia - higiene,Anhedonia - intereses recreativos,Anergia física,Obsesiones de presencia,Temblores,Deterioro de la memoria,Paranoia intensa,Sueño o fatiga
Trastorno esquizotípico,Anhedonia - relaciones con la familia,Paranoia intensa,Ideas suicidas,Contacto visual bajo,Gesticulación reducida,Anergia física,Expresión facial reducida,Obsesiones de presencia,Anhedonia - relaciones con amigos,Anhedonia
Trastorno delirante,Cambios en el apetito,Alogia - pobreza de contenido,Disminución del libido,Desorganización del pensamiento,Alogia,Contacto visual bajo,Preocupación,Deterioro de la atención,Anhedonia - relaciones con amigos,Dificultades en teoría de la mente
Trastorno delirante,Alogia - pobreza del habla,Comportamiento motor desorganizado,Gesticulación reducida,Cambios en el apetito,Sudoración,Alogia,Deterioro de la atención,Anhedonia - relaciones con la familia,Anhedonia - relaciones con amigos,Irritabilidad
Depresión mayor con síntomas psicóticos,Paranoia intensa,Anhedonia - relaciones con amigos,Alogia - pobreza de contenido,Sentimiento de culpa,Expresión facial reducida,Catatonía,Obsesiones de presencia,Hipoexpresividad emocional,Sueño o fatiga,Afectividad inapropiada
Trastorno bipolar con síntomas psicóticos,Sudoración,Lenguaje desorganizado,Dificultad de concentración,Desorganización del pensamiento,Deterioro de la memoria,Anhedonia - intereses sexuales,Ideas suicidas,Cambios en el apetito,Deterioro de la atención,Déficit en el procesamiento de la información
Trastorno bipolar con síntomas psicóticos,Lenguaje desorganizado,Contacto visual bajo,Tristeza,Eco del pensamiento,Pensamientos intrusivos,Anhedonia - relaciones con amigos,Dificultad de concentración,Anhedonia - intereses recreativos,Abulia - higiene,Comportamiento motor desorganizado
Trastorno delirante,Tristeza,Contacto visual bajo,Paranoia intensa,Alucinaciones,Temblores,Disnea,Taquicardia,Anhedonia - sociabilidad,Anhedonia,Abulia - trabajo o estudio
Trastorno delirante,Deterioro de la atención,Hipoexpresividad emocional,Catatonía,Anhedonia - sociabilidad,Déficit en el procesamiento de la información,Nerviosismo,Tristeza,Anhedonia - relaciones con la familia,Anhedonia - relaciones con amigos,Alucinaciones
Trastorno bipolar con síntomas psicóticos,Alogia - pobreza del habla,Obsesiones de presencia,Control del pensamiento,Ideas delirantes,Sudoración,Anhedonia - sociabilidad,Comportamiento social inadecuado,Catatonía,Alogia - pobreza de contenido,Anergia física
Trastorno delirante,Dificultades en teoría de la mente,Hipervigilancia,Alogia - bloqueos del pensamiento,Preocupación,Eco del pensamiento,Abulia - trabajo o estudio,Ideas suicidas,Ideas delirantes,Sudoración,Deterioro de la memoria
Trastorno bipolar con síntomas psicóticos,Hipoexpresividad emocional,Afectividad inapropiada,Disminución del libido,Control del pensamiento,Catatonía,Anhedonia - relaciones con la familia,Alucinaciones,Anhedonia,Disnea,Obsesiones de presencia
Trastorno bipolar con síntomas psicóticos,Desorganización del pensamiento,Taquicardia,Anhedonia - sociabilidad,Anhedonia - intereses recreativos,Temblores,Anergia física,Sueño o fatiga,Irritabilidad,Control del pensamiento,Anhedonia - relaciones con la familia
Trastorno bipolar con síntomas psicóticos,Temblores,Anhedonia - relaciones con amigos,Alogia - pobreza del habla,Contacto visual bajo,Déficit en el procesamiento de la información,Desorganización del pensamiento,Anhedonia - intereses recreativos,Preocupación,Afectividad inapropiada,Alogia - bloqueos del pensamiento
Trastorno esquizotípico,Lenguaje desorganizado,Alucinaciones,Anergia física,Obsesiones de presencia,Paranoia intensa,Alogia,Desorganización del pensamiento,Temblores,Afectividad inapropiada,Comportamiento social inadecuado
Trastorno esquizotípico,Anhedonia - sociabilidad,Comportamiento social inadecuado,Lenguaje desorganizado,Temblores,Déficit en el procesamiento de la información,Afectividad inapropiada,Sudoración,Contacto visual bajo,Anergia física,Ideas delirantes
Esquizofrenia,Irritabilidad,Dificultad de concentración,Desorganización del pensamiento,Anhedonia - relaciones con amigos,Deterioro de la atención,Alogia - pobreza de contenido,Taquicardia,Déficit en el procesamiento de la información,Deterioro de la memoria,Paranoia intensa
Trastorno esquizoafectivo,Comportamiento social inadecuado,Desorganización del pensamiento,Taquicardia,Sudoración,Eco del pensamiento,Hipoexpresividad emocional,Contacto visual bajo,Anergia física,Abulia - higiene,Cambios en el apetito
Trastorno delirante,Nerviosismo,Preocupación,Alucinaciones,Cambios en el apetito,Deterioro de la atención,Alogia - pobreza del habla,Pensamientos intrusivos,Dificultades en teoría de la mente,Irritabilidad,Ideas delirantes
Depresión mayor con síntomas psicóticos,Anergia física,Deterioro de la memoria,Anhedonia - intereses recreativos,Desorganización del pensamiento,Pensamientos intrusivos,Tristeza,Anhedonia - relaciones con amigos,Hipoexpresividad emocional,Sueño o fatiga,Afectividad inapropiada
Trastorno delirante,Disnea,Anhedonia,Expresión facial reducida,Alogia - pobreza de contenido,Alogia - pobreza del habla,Desorganización del pensamiento,Tristeza,Abulia,Gesticulación reducida,Deterioro de la atención
Trastorno esquizoafectivo,Catatonía,Anhedonia - relaciones con amigos,Gesticulación reducida,Afectividad inapropiada,Dificultades en teoría de la mente,Anhedonia - relaciones con la familia,Sueño o fatiga,Comportamiento social inadecuado,Anhedonia - sociabilidad,Ideas suicidas
Trastorno esquizoafectivo,Paranoia intensa,Abulia,Alogia - bloqueos del pensamiento,Preocupación,Abulia - higiene,Desorganización del pensamiento,Hipoexpresividad emocional,Disminución del libido,Anhedonia,Anergia física
Depresión mayor con síntomas psicóticos,Deterioro de la atención,Alogia - pobreza del habla,Taquicardia,Sueño o fatiga,Cambios en el apetito,Alogia,Obsesiones de presencia,Irritabilidad,Temblores,Alogia - bloqueos del pensamiento
Esquizofrenia,Alucinaciones,Preocupación,Pensamientos intrusivos,Abulia - higiene,Déficit en el procesamiento de la información,Sentimiento de culpa,Hipoexpresividad emocional,Taquicardia,Alogia - bloqueos del pensamiento,Anhedonia - intereses sexuales
Trastorno esquizotípico,Preocupación,Dificultades en teoría de la mente,Afectividad inapropiada,Anhedonia - sociabilidad,Deterioro de la memoria,Sueño o fatiga,Ideas delirantes,Desorganización del pensamiento,Temblores,Sudoración
Trastorno esquizoafectivo,Sentimiento de culpa,Obsesiones de presencia,Anhedonia - sociabilidad,Alucinaciones,Alogia,Sueño o fatiga,Temblores,Anhedonia - relaciones con amigos,Anhedonia - intereses recreativos,Ideas suicidas
Trastorno esquizoafectivo,Gesticulación reducida,Hipoexpresividad emocional,Alogia - pobreza del habla,Ideas suicidas,Hipervigilancia,Deterioro de la memoria,Anhedonia - relaciones con la familia,Afectividad inapropiada,Nerviosismo,Control del pensamiento
Esquizofrenia,Afectividad inapropiada,Abulia - higiene,Cambios en el apetito,Preocupación,Anhedonia - relaciones con la familia,Anhedonia - intereses sexuales,Abulia - trabajo o estudio,Alucinaciones,Gesticulación reducida,Lenguaje desorganizado
Esquizofrenia,Preocupación,Eco del pensamiento,Anhedonia - relaciones con la familia,Disminución del libido,Déficit en el procesamiento de la información,Anhedonia,Cambios en el apetito,Anhedonia - intereses sexuales,Catatonía,Ideas suicidas
Trastorno bipolar con síntomas psicóticos,Comportamiento motor desorganizado,Contacto visual bajo,Deterioro de la atención,Expresión facial reducida,Tristeza,Disnea,Temblores,Anhedonia - intereses sexuales,Hipervigilancia,Ideas suicidas
Depresión mayor con síntomas psicóticos,Alogia - bloqueos del pensamiento,Alogia - pobreza de contenido,Deterioro de la memoria,Catatonía,Comportamiento social inadecuado,Tristeza,Paranoia intensa,Obsesiones de presencia,Nerviosismo,Gesticulación reducida
Trastorno esquizotípico,Preocupación,Deterioro de la atención,Anergia física,Deterioro de la memoria,Ideas delirantes,Taquicardia,Paranoia intensa,Alogia - bloqueos del pensamiento,Lenguaje desorganizado,Anhedonia - relaciones con amigos
Trastorno delirante,Disminución del libido,Déficit en el procesamiento de la información,Dificultades en teoría de la mente,Dificultad de concentración,Preocupación,Afectividad inapropiada,Sueño o fatiga,Temblores,Anhedonia - relaciones con amigos,Hipoexpresividad emocional
Trastorno bipolar con síntomas psicóticos,Disnea,Pensamientos intrusivos,Hipervigilancia,Preocupación,Alucinaciones,Abulia,Eco del pensamiento,Disminución del libido,Ideas delirantes,Desorganización del pensamiento
Trastorno esquizoafectivo,Disminución del libido,Anergia física,Lenguaje desorganizado,Pensamientos intrusivos,Hipoexpresividad emocional,Paranoia intensa,Dificultades en teoría de la mente,Comportamiento social inadecuado,Disnea,Abulia - higiene
Trastorno esquizotípico,Pensamientos intrusivos,Disminución del libido,Hipoexpresividad emocional,Dificultad de concentración,Comportamiento motor desorganizado,Sentimiento de culpa,Déficit en el procesamiento de la información,Preocupación,Alucinaciones,Anhedonia - intereses recreativos
Trastorno esquizoafectivo,Sudoración,Sentimiento de culpa,Paranoia intensa,Obsesiones de presencia,Cambios en el apetito,Abulia,Ideas suicidas,Anergia física,Tristeza,Temblores
Depresión mayor con síntomas psicóticos,Hipoexpresividad emocional,Paranoia intensa,Expresión facial reducida,Alogia - bloqueos del pensamiento,Abulia - trabajo o estudio,Comportamiento social inadecuado,Anergia física,Taquicardia,Comportamiento motor desorganizado,Alogia - pobreza del habla
Depresión mayor con síntomas psicóticos,Dificultades en teoría de la mente,Nerviosismo,Pensamientos intrusivos,Alogia - bloqueos del pensamiento,Ideas delirantes,Sueño o fatiga,Afectividad inapropiada,Anergia física,Dificultad de concentración,Anhedonia - sociabilidad
Trastorno bipolar con síntomas psicóticos,Sudoración,Taquicardia,Cambios en el apetito,Dificultades en teoría de la mente,Eco del pensamiento,Anhedonia - sociabilidad,Sueño o fatiga,Gesticulación reducida,Contacto visual bajo,Déficit en el procesamiento de la información
Trastorno delirante,Afectividad inapropiada,Abulia,Anhedonia - relaciones con la familia,Alogia - bloqueos del pensamiento,Sueño o fatiga,Deterioro de la memoria,Alogia,Dificultades en teoría de la mente,Hipoexpresividad emocional,Disminución del libido
Depresión mayor con síntomas psicóticos,Gesticulación reducida,Anhedonia - relaciones con amigos,Ideas suicidas,Dificultades en teoría de la mente,Obsesiones de presencia,Alogia - pobreza del habla,Disminución del libido,Alucinaciones,Anhedonia - relaciones con la familia,Pensamientos intrusivos
Trastorno delirante,Sentimiento de culpa,Pensamientos intrusivos,Sudoración,Alucinaciones,Alogia - pobreza del habla,Preocupación,Deterioro de la atención,Alogia,Anhedonia - intereses sexuales,Abulia - trabajo o estudio
